address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"2000 E Rio Salado Pkwy,Ste 1069,Tempe, AZ 85281",Zero Degrees,Tempe,5/22/2018,Bubble Tea/Coffee & Tea,8/30/2020,3,289,AZ,2000 E Rio Salado Pkwy,85281
"2200 E Williams Field Rd,Ste 117,Gilbert, AZ 85295",Bubble Bee,Gilbert,6/27/2015,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/27/2020,4,262,AZ,2200 E Williams Field Rd,85295
"20280 N 59th Ave,Ste 106,Glendale, AZ 85308",Teamania,Glendale,4/27/2019,Bubble Tea,10/26/2020,4,94,AZ,20280 N 59th Ave,85308
"1608 N Miller Rd,Ste 5,Scottsdale, AZ 85257",Fatty Daddy's,Scottsdale,1/29/2016,Ice Cream & Frozen Yogurt/Coffee & Tea,10/29/2020,4,544,AZ,1608 N Miller Rd,85257
"9397 E Shea Blvd,Ste 110,Scottsdale, AZ 85260",Scoop and Joy Lounge,Scottsdale,8/20/2016,Coffee & Tea/Ice Cream & Frozen Yogurt/Bubble Tea,10/29/2020,4,421,AZ,9397 E Shea Blvd,85260
"1920 W Broadway Rd,Mesa, AZ 85202",iSnow,Mesa,5/7/2016,Coffee & Tea/Bubble Tea/Ice Cream & Frozen Yogurt,8/19/2019,4,21,AZ,1920 W Broadway Rd,85202
"319 N Litchfield Rd,Ste 104A,Goodyear, AZ 85338",Teabo,Goodyear,2/28/2017,Coffee & Tea/Sandwiches/Juice Bars & Smoothies,9/13/2020,4,177,AZ,319 N Litchfield Rd,85338
"502 S Dobson Rd,Ste 6,Mesa, AZ 85202",Tea One,Mesa,2/1/2020,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/25/2020,4,14,AZ,502 S Dobson Rd,85202
"7033 E Main St,Ste 100,Scottsdale, AZ 85251",Růže Cake House,Scottsdale,9/8/2014,Bakeries/Macarons/Custom Cakes,10/10/2020,4,173,AZ,7033 E Main St,85251
"6135 N 35th Ave,Ste 143,Phoenix, AZ 85017",Bobaholic Milk Tea Lounge,Phoenix,,Bubble Tea,,,,AZ,6135 N 35th Ave,85017
"6850 E Main St,Scottsdale, AZ 85251",ZuZu,Scottsdale,5/16/2006,American (Traditional)/Breakfast & Brunch/Cocktail Bars,10/28/2020,4,553,AZ,6850 E Main St,85251
"1857 N Scottsdale Rd,Tempe, AZ 85281",Ramen Time,Tempe,10/9/2018,Ramen/Bubble Tea/Beer Bar,,4,166,AZ,1857 N Scottsdale Rd,85281
"49A W Thomas Rd,Phoenix, AZ 85013",Banh Mì & Pho,Phoenix,,Vietnamese/Bubble Tea/Juice Bars & Smoothies,,,,AZ,49A W Thomas Rd,85013
"1705 E Broadway Rd,Tempe, AZ 85282",Boba Boss at SakeBomber Sushi,Tempe,,Bubble Tea,,,,AZ,1705 E Broadway Rd,85282
"4311 E Baseline Rd,Gilbert, AZ 85234",Swig,Gilbert,9/10/2015,Desserts/Juice Bars & Smoothies/Bubble Tea,9/29/2020,4,154,AZ,4311 E Baseline Rd,85234
"7611 W Thomas Rd,Phoenix, AZ 85033",Boba Tea Company,Phoenix,12/7/2019,Bubble Tea,10/23/2020,3,2,AZ,7611 W Thomas Rd,85033
"2015 North Dobson Rd,unit 9,Chandler, AZ 85224",Urbanh Cafe,Chandler,5/25/2018,Bubble Tea/Juice Bars & Smoothies/Sandwiches,9/27/2020,4,130,AZ,2015 North Dobson Rd,85224
"66 S Dobson Rd,Ste 145,Mesa, AZ 85202",Tea Avenue,Mesa,7/27/2019,Bubble Tea/Juice Bars & Smoothies,10/17/2020,4,30,AZ,66 S Dobson Rd,85202
"1649 S Stapley Dr,Mesa, AZ 85204",Zero Degrees,Mesa,8/31/2018,Bubble Tea/Coffee & Tea/Chicken Wings,10/27/2020,3,183,AZ,1649 S Stapley Dr,85204
"4729 W Olive Ave,Glendale, AZ 85302",Rainbow Donuts,Glendale,11/21/2014,Donuts/Coffee & Tea/Bubble Tea,5/18/2020,4,58,AZ,4729 W Olive Ave,85302
"9897 W Mcdowell Rd,Ste 220,Tolleson, AZ 85353",Bomboba,Tolleson,12/8/2015,Coffee & Tea/Juice Bars & Smoothies/Desserts,10/14/2020,3,177,AZ,9897 W Mcdowell Rd,85353
"1919 W Main St,Mesa, AZ 85201",H Mart Mesa,Mesa,6/11/2020,Korean/Grocery/Food Court,10/30/2020,4,101,AZ,1919 W Main St,85201
"2700 W Baseline Rd,Ste 129,Tempe, AZ 85283",Boba & Donuts,Tempe,8/8/2017,Donuts/Bubble Tea,10/15/2020,4,27,AZ,2700 W Baseline Rd,85283
"1152 N Power Rd,Ste 106,Mesa, AZ 85205",Dutch Donut Factory,Mesa,5/24/2014,Donuts/Juice Bars & Smoothies/Bubble Tea,10/31/2020,4,134,AZ,1152 N Power Rd,85205
"2531 S Gilbert Rd,Ste 104,Gilbert, AZ 85295",Boba Bliss,Gilbert,6/24/2016,Juice Bars & Smoothies/Coffee & Tea/Bubble Tea,9/25/2020,4,115,AZ,2531 S Gilbert Rd,85295
"3536 W Baseline Rd,Phoenix, AZ 85339",Sunrise Donuts,Phoenix,,Donuts/Breakfast & Brunch/Bagels,9/25/2020,4,167,AZ,3536 W Baseline Rd,85339
