address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"2505 Airport Thruway,Ste K,Columbus, GA 31904",Kung Fu Tea,Columbus,3/19/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,,5,18,GA,2505 Airport Thruway,31904
"1790 Williams Rd,Columbus, GA 31904",Sunny Wings & Burgers,Columbus,,Cheesesteaks/Burgers/Chicken Wings,,,,GA,1790 Williams Rd,31904
"1056 Manchester Expy,Suit A6b,Columbus, GA 31904",Chick Land,Columbus,3/30/2017,American (Traditional)/Cheesesteaks,12/13/2019,3,7,GA,1056 Manchester Expy,31904
"1250 Broadway,Ste A,Columbus, GA 31901",Uptown Vietnam Cuisine,Columbus,7/15/2013,Vietnamese,10/30/2020,4,139,GA,1250 Broadway,31901
"5555 Whittlesey Blvd,Ste L4,Columbus, GA 31909",JL Japanese Express,Columbus,1/20/2015,Teppanyaki/Sushi Bars/Bubble Tea,8/3/2020,4,27,GA,5555 Whittlesey Blvd,31909
"5295 Whittlesey Blvd,Ste 400,Columbus, GA 31909",YummyVilla,Columbus,8/22/2018,Ice Cream & Frozen Yogurt/Bubble Tea,10/25/2020,4,17,GA,5295 Whittlesey Blvd,31909
"6600 Whittlesey Blvd,Ste 101B,Columbus, GA 31909",Ice Queen,Columbus,3/1/2019,Ice Cream & Frozen Yogurt/Bubble Tea/Indian,10/18/2020,5,17,GA,6600 Whittlesey Blvd,31909
