address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"2800 S Ih 35,Round Rock, TX 78681",Ding Tea,Round Rock,6/1/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/9/2020,4,67,TX,2800 S Ih 35,78681
"2525 W Anderson Ln,Bldg 3-132,Austin, TX 78757",Tea Amo,Austin,2/18/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/12/2020,4,24,TX,2525 W Anderson Ln,78757
"6929 Airport Blvd,Ste 132,Austin, TX 78752",101 By Teahaus,Austin,10/20/2017,Taiwanese/Bubble Tea/Korean,11/2/2020,4,238,TX,6929 Airport Blvd,78752
"11501 Rock Rose Ave,Ste 152,Austin, TX 78758",Boba Boyz,Austin,8/18/2018,Bubble Tea,12/1/2019,2,11,TX,11501 Rock Rose Ave,78758
"13201 Ranch Rd 620 N,Ste 206,Austin, TX 78717",Gong Cha,Austin,9/1/2018,Bubble Tea,10/24/2020,3,62,TX,13201 Ranch Rd 620 N,78717
"2000 S Interstate 35,Ste N-1,Round Rock, TX 78681",Teapioca Lounge,Round Rock,5/13/2015,Bubble Tea/Tea Rooms/Juice Bars & Smoothies,10/11/2020,4,109,TX,2000 S Interstate 35,78681
"621 E 7th St,Austin, TX 78701",Koriente,Austin,11/21/2006,Asian Fusion/Gluten-Free/Salad,10/26/2020,4,1683,TX,621 E 7th St,78701
"5207 Brodie Ln,Ste 115,Sunset Valley, TX 78745",Bao'd Up - Sunset Valley,Sunset Valley,9/26/2019,Chinese/Comfort Food/Noodles,10/23/2020,4,73,TX,5207 Brodie Ln,78745
"609 Clayton Ln,Ste 110,Austin, TX 78752",IBubbleTea,Austin,8/23/2019,Coffee & Tea/Bubble Tea/Asian Fusion,8/9/2020,2,8,TX,609 Clayton Ln,78752
"615 W Slaughter Ln,Ste 110,Austin, TX 78748",Filipino Asian Mart,Austin,5/25/2011,Filipino/International Grocery,9/29/2020,4,84,TX,615 W Slaughter Ln,78748
"1900 University Blvd,Ste 210,Round Rock, TX 78665",Truboba Cafe,Round Rock,1/4/2019,Bubble Tea/Juice Bars & Smoothies/Sandwiches,10/25/2020,4,97,TX,1900 University Blvd,78665
"8300 N Fm 620,Bldg A, Ste 200,Austin, TX 78726",Angel Donuts & Treats,Austin,10/29/2012,Bakeries/Bubble Tea/Donuts,10/10/2020,4,227,TX,8300 N Fm 620,78726
"9225 W Parmer Ln,Ste 101,Austin, TX 78717",Cuppa Austin,Austin,2/26/2013,Coffee & Tea,10/12/2020,4,318,TX,9225 W Parmer Ln,78717
"2051 Cypress Creek Rd,Ste D,Cedar Park, TX 78613",Mr. Boba,Cedar Park,8/10/2016,Bubble Tea/Shaved Ice/Coffee & Tea,8/15/2020,4,67,TX,2051 Cypress Creek Rd,78613
"6929 Airport Blvd,Ste 197,Austin, TX 78752",85°C Bakery Cafe,Austin,7/11/2018,Coffee & Tea/Bakeries/Patisserie/Cake Shop,10/8/2020,4,181,TX,6929 Airport Blvd,78752
"900 Ranch Rd 620 S,Ste A109,Lakeway, TX 78734",SnoMo,Lakeway,,Bubble Tea/Ice Cream & Frozen Yogurt/Shaved Snow,10/1/2020,5,55,TX,900 Ranch Rd 620 S,78734
"609 Clayton Ln,Ste 100,Austin, TX 78752",The Pho,Austin,8/10/2019,Vietnamese/Bubble Tea,10/17/2020,4,38,TX,609 Clayton Ln,78752
"1701 W Parmer Ln,Ste 105,Austin, TX 78727",Tomunchi,Austin,3/24/2008,Ice Cream & Frozen Yogurt/Bubble Tea/Juice Bars & Smoothies,7/14/2020,4,176,TX,1701 W Parmer Ln,78727
"2501 W Parmer Ln,Ste 550,Austin, TX 78727",Basil Thai,Austin,8/19/2017,Thai/Bubble Tea/Hot Pot,10/28/2020,4,189,TX,2501 W Parmer Ln,78727
"6808 N Larmar Blvd,Ste B-115,Austin, TX 78752",Tous Les Jours,Austin,10/28/2012,Bakeries/Coffee & Tea/Desserts,10/24/2020,4,332,TX,6808 N Larmar Blvd,78752
"3601 W William Cannon Dr,Ste 250,Austin, TX 78749",Pho Thái Son,Austin,8/6/2007,Vietnamese/Bubble Tea/Sushi Bars,10/11/2020,3,262,TX,3601 W William Cannon Dr,78749
"1911 Aldrich St,Ste A1,Austin, TX 78723",Bao’d Up - Mueller Aldrich,Austin,7/23/2017,Chinese/Comfort Food/Noodles,10/8/2020,3,321,TX,1911 Aldrich St,78723
"11301 Lakeline Blvd,Austin, TX 78717",H Mart - Austin,Austin,2/13/2018,Korean/Food Court/International Grocery,10/25/2020,4,405,TX,11301 Lakeline Blvd,78717
"11301 Lakeline Blvd,Austin, TX 78717",SnoMo,Austin,4/8/2018,Bubble Tea/Ice Cream & Frozen Yogurt/Shaved Snow,8/9/2020,3,18,TX,11301 Lakeline Blvd,78717
"10930 East Crystal Falls Pkwy,Leander, TX 78641",SnoMo,Leander,6/25/2020,Shaved Snow/Bubble Tea/Ice Cream & Frozen Yogurt,7/20/2020,5,2,TX,10930 East Crystal Falls Pkwy,78641
"11821 Rock Rose Ave,Austin, TX 78758",Gong Cha,Austin,6/23/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,7/28/2020,4,15,TX,11821 Rock Rose Ave,78758
"800 W Whitestone,Cedar Park, TX 78613",Zero Degrees,Cedar Park,9/17/2019,Bubble Tea/Coffee & Tea,11/1/2020,3,89,TX,800 W Whitestone,78613
"13776 US-183,Austin, TX 78750",Tsaocaa,Austin,11/1/2020,Bubble Tea,11/1/2020,5,1,TX,13776 US-183,78750
"6929 Airport Blvd,Ste 135,Austin, TX 78752",Snowy Village Dessert Cafe,Austin,5/29/2018,Desserts,8/26/2020,4,144,TX,6929 Airport Blvd,78752
"1608 Town Center Dr,Ste 200,Pflugerville, TX 78660",Ding tea,Pflugerville,11/19/2018,Coffee & Tea,9/9/2020,4,69,TX,1608 Town Center Dr,78660
"8650 Spicewood Springs Rd,Ste 115,Austin, TX 78759",Asia Market,Austin,3/18/2006,Chinese/International Grocery,10/31/2020,4,127,TX,8650 Spicewood Springs Rd,78759
"114 E 7th St,Ste 116,Georgetown, TX 78626",Mango Tango Asian Restaurant,Georgetown,3/21/2020,Bubble Tea/Cambodian/Asian Fusion,10/23/2020,4,48,TX,114 E 7th St,78626
"1045 Norwood Park Blvd,Ste 100,Austin, TX 78753",Shipley Do-Nuts,Austin,3/1/2018,Donuts,10/8/2020,3,20,TX,1045 Norwood Park Blvd,78753
"519 E 6th St,Austin, TX 78701",K Cupbop,Austin,8/5/2018,Korean,,4,14,TX,519 E 6th St,78701
"2522 Guadalupe St,Austin, TX 78705",Kokodak,Austin,1/31/2019,Korean/Chicken Wings,9/6/2020,3,90,TX,2522 Guadalupe St,78705
"500 W 5th St,Austin, TX 78701",Wu Chow,Austin,11/5/2015,Dim Sum/Seafood/Soup,10/30/2020,4,756,TX,500 W 5th St,78701
"411 W 23rd St,Austin, TX 78705",Song La,Austin,8/21/2015,Food Trucks/Taiwanese,10/24/2020,4,134,TX,411 W 23rd St,78705
"109 W 7th St,Ste 105,Georgetown, TX 78626",Black Sugar Caffe,Georgetown,9/20/2020,Tapas/Small Plates/Coffee & Tea/Bubble Tea,10/18/2020,4,6,TX,109 W 7th St,78626
"4534 W Gate Blvd,Ste 105,Austin, TX 78745",Sichuan River,Austin,8/6/2014,Szechuan,10/21/2020,3,300,TX,4534 W Gate Blvd,78745
"1400 E 4th St,Austin, TX 78702",Texas Coffee Traders,Austin,8/26/2008,Coffee Roasteries,9/22/2020,5,245,TX,1400 E 4th St,78702
"111 N Vista Ridge Blvd,Ste 105,Cedar Park, TX 78613",Local Slice Pizza & Juju's Boba Tea,Cedar Park,6/9/2016,Pizza/Coffee & Tea/Chicken Wings,9/8/2020,4,130,TX,111 N Vista Ridge Blvd,78613
"2515 E Cesar Chavez St,Austin, TX 78702",Sweet Chive,Austin,12/23/2018,Sushi Bars/Chinese/Japanese,10/21/2020,4,148,TX,2515 E Cesar Chavez St,78702
"2222 Rio Grande St,Ste 190,Austin, TX 78705",Bao'd Up - UT West Campus,Austin,6/11/2019,Chinese/Comfort Food/Noodles,10/31/2020,4,54,TX,2222 Rio Grande St,78705
"5000 Burnet Rd,Austin, TX 78756",Dawa Sushi,Austin,9/17/2016,Food Trucks/Sushi Bars/Korean,10/29/2020,4,163,TX,5000 Burnet Rd,78756
"201 E 21st St,K102,Jester Center,Austin, TX 78705",Bliss,Austin,9/14/2019,Bubble Tea/Coffee & Tea,9/21/2019,2,2,TX,201 E 21st St,78705
"1101 W Pecan St,Ste 8,Pflugerville, TX 78660",Rollie Rolls Ice Cream,Pflugerville,8/9/2019,Thai/Coffee & Tea/Ice Cream & Frozen Yogurt,11/2/2020,5,45,TX,1101 W Pecan St,78660
"10901 N Lamar Blvd,Austin, TX 78753",Baguette House,Austin,6/30/2008,Vietnamese/Sandwiches,10/19/2020,4,388,TX,10901 N Lamar Blvd,78753
"2400 E Oltorf St,Ste 1,Austin, TX 78741",888 Pan Asian Restaurant,Austin,3/24/2007,Vietnamese/Thai/Chinese,11/1/2020,4,1676,TX,2400 E Oltorf St,78741
