address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"1728 Hostetter Rd,Ste 30,San Jose, CA 95131",Sharetea,San Jose,11/22/2014,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,7/16/2020,3,562,CA,1728 Hostetter Rd,95131
"3005 Silver Creek Rd,Ste 184,San Jose, CA 95121",N7 Draft Tea and Coffee,San Jose,7/10/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/23/2020,4,345,CA,3005 Silver Creek Rd,95121
"925 Blossom Hill Rd,San Jose, CA 95123",Shake Tea,San Jose,6/5/2015,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,2/29/2020,4,121,CA,925 Blossom Hill Rd,95123
"43691 Mission Blvd,Fremont, CA 94539",Umi Tea,Fremont,9/8/2020,Bubble Tea,10/17/2020,4,14,CA,43691 Mission Blvd,94539
"457 Saratoga Ave,San Jose, CA 95129",Kung Fu Tea,San Jose,10/17/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,11/1/2020,3,155,CA,457 Saratoga Ave,95129
"2520 Berryessa Rd,San Jose, CA 95132",T Spot Boba Drinks & Snacks,San Jose,6/30/2016,Bubble Tea/Coffee & Tea/Asian Fusion,10/23/2020,4,226,CA,2520 Berryessa Rd,95132
"139 S Murphy Ave,Sunnyvale, CA 94086",K Tea Cafe,Sunnyvale,1/17/2018,Bubble Tea/Cafes/Taiwanese,10/29/2020,4,304,CA,139 S Murphy Ave,94086
"200 Serra Way,Ste 12,Milpitas, CA 95035",MandRo Teahouse-Milpitas,Milpitas,9/21/2018,Bubble Tea/Shaved Ice,8/2/2020,4,174,CA,200 Serra Way,95035
"1701 Lundy Ave,Ste 170,San Jose, CA 95131",Gong Cha,San Jose,11/1/2014,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/18/2020,3,546,CA,1701 Lundy Ave,95131
"568 El Camino Real,Ste A,Sunnyvale, CA 94087",Sharetea,Sunnyvale,9/29/2016,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/23/2020,4,242,CA,568 El Camino Real,94087
"528 Barber Ln,Milpitas, CA 95035",Fantasia Coffee & Tea,Milpitas,5/16/2005,Coffee & Tea/Bubble Tea/Desserts,9/29/2020,4,1190,CA,528 Barber Ln,95035
"165 S Murphy Ave,Ste D,Sunnyvale, CA 94086",ATM Tea Bar,Sunnyvale,2/14/2020,Bubble Tea/Coffee & Tea,10/14/2020,4,42,CA,165 S Murphy Ave,94086
"7372 Thornton Ave,Newark, CA 94560",Feng Cha Teahouse 奉茶,Newark,1/3/2019,Desserts/Bubble Tea/Coffee & Tea,10/30/2020,4,562,CA,7372 Thornton Ave,94560
"40 S 1st St,San Jose, CA 95113",Tea Alley,San Jose,3/1/2018,Desserts/Taiwanese/Bubble Tea,10/29/2020,3,147,CA,40 S 1st St,95113
"2202 Broadway St,Redwood City, CA 94063",Bobalicious,Redwood City,9/29/2014,Bubble Tea,10/31/2020,4,196,CA,2202 Broadway St,94063
"3151 Senter Rd,Ste 120,San Jose, CA 95111",Ding Tea House,San Jose,10/5/2016,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/22/2020,3,158,CA,3151 Senter Rd,95111
"10933 N Wolfe Rd,Cupertino, CA 95014",Fantasia Coffee & Tea,Cupertino,10/27/2005,Coffee & Tea/Desserts/Bubble Tea,11/1/2020,4,1122,CA,10933 N Wolfe Rd,95014
"3005 Silver Creek Rd,Ste 170,San Jose, CA 95121",Soyful Desserts,San Jose,8/2/2016,Desserts/Bubble Tea,10/20/2020,4,266,CA,3005 Silver Creek Rd,95121
"481 E San Carlos St,San Jose, CA 95112",Buddy Teahouse,San Jose,11/26/2018,Bubble Tea/Ramen/Coffee & Tea,10/11/2020,4,105,CA,481 E San Carlos St,95112
"979 Story Rd,Ste 7012,San Jose, CA 95122",Teahee,San Jose,8/17/2017,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/29/2020,4,348,CA,979 Story Rd,95122
"10887 N Wolfe Rd,Cupertino, CA 95014",Ume Tea,Cupertino,8/1/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/31/2020,4,231,CA,10887 N Wolfe Rd,95014
"311 N Capitol Ave,Ste C,San Jose, CA 95133",Happy Lemon,San Jose,3/31/2018,Bubble Tea/Juice Bars & Smoothies,10/2/2020,4,119,CA,311 N Capitol Ave,95133
"999 Story Rd,Unit 9048,San Jose, CA 95122",Soyful Desserts,San Jose,8/8/2014,Desserts/Bubble Tea,10/7/2020,4,689,CA,999 Story Rd,95122
"3005 Silver Creek Rd,Ste 192,San Jose, CA 95121",Simply Boba,San Jose,12/26/2014,Bubble Tea/Vietnamese/Juice Bars & Smoothies,10/3/2020,4,151,CA,3005 Silver Creek Rd,95121
"82 Ranch Dr,Milpitas, CA 95035",TeaTop,Milpitas,11/10/2016,Coffee & Tea/Bubble Tea,10/17/2020,4,258,CA,82 Ranch Dr,95035
"81 Curtner Ave,Ste 40,San Jose, CA 95112",Tapioca Express,San Jose,10/9/2011,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/27/2020,3,565,CA,81 Curtner Ave,95112
"19058 Stevens Creek Blvd,Cupertino, CA 95014",O2 Valley,Cupertino,6/21/2020,Bubble Tea/Taiwanese,11/1/2020,4,88,CA,19058 Stevens Creek Blvd,95014
"17 N 2nd St,San Jose, CA 95113",Paper Moon Cafe,San Jose,6/19/2020,Cafes/Bubble Tea,10/24/2020,4,60,CA,17 N 2nd St,95113
"2191 Morrill Ave,San Jose, CA 95132",Yummi Tea Cafe,San Jose,3/22/2017,Bubble Tea/Hot Pot/Taiwanese,10/16/2020,4,350,CA,2191 Morrill Ave,95132
"20916 Homestead Rd,Ste F,Cupertino, CA 95014",Tea Era,Cupertino,6/15/2014,Coffee & Tea/Bubble Tea/Taiwanese,10/23/2020,3,674,CA,20916 Homestead Rd,95014
"1688 Hostetter Rd,Ste D,San Jose, CA 95131",BAMBU,San Jose,7/29/2007,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,8/23/2020,4,673,CA,1688 Hostetter Rd,95131
"38509 Fremont Blvd,Fremont, CA 94536",Royaltea USA,Fremont,10/7/2016,Bubble Tea,10/30/2020,4,361,CA,38509 Fremont Blvd,94536
"3074 El Camino Real,Santa Clara, CA 95051",Toco Tea,Santa Clara,2/13/2020,Bubble Tea,10/23/2020,4,61,CA,3074 El Camino Real,95051
"2101 Showers Dr,Mountain View, CA 94040",Onemore,Mountain View,7/5/2020,Bubble Tea,10/31/2020,4,24,CA,2101 Showers Dr,94040
"8155 Arroyo Cir,Ste 2,Gilroy Premium Outlets,Gilroy, CA 95020",Happy Lemon,Gilroy,11/28/2018,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/29/2020,4,99,CA,8155 Arroyo Cir,95020
"75 E Santa Clara St,Fl 6,San Jose, CA 95113",Bobateani,San Jose,7/19/2017,Bubble Tea/Caterers,7/22/2020,5,26,CA,75 E Santa Clara St,95113
"140 Paseo De San Antonio,San Jose, CA 95112",Gong Cha,San Jose,4/17/2017,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/28/2020,3,169,CA,140 Paseo De San Antonio,95112
"1336 S Mary Ave,Sunnyvale, CA 94087",Calibear Cyber Cafe,Sunnyvale,8/8/2017,Bubble Tea/Internet Cafes/LAN Centers,10/5/2020,4,215,CA,1336 S Mary Ave,94087
"1698 Hostetter Rd,San Jose, CA 95131",Teaspoon,San Jose,1/23/2019,Bubble Tea/Shaved Snow,10/21/2020,4,117,CA,1698 Hostetter Rd,95131
"605 E El Camino Real,Sunnyvale, CA 94087",Happy Lemon,Sunnyvale,4/29/2017,Bubble Tea,10/29/2020,4,318,CA,605 E El Camino Real,94087
"1171 Homestead Rd,Ste 140B,Santa Clara, CA 95050",Jiaren Cafe,Santa Clara,10/27/2019,Coffee & Tea/Desserts/Bubble Tea,11/1/2020,4,120,CA,1171 Homestead Rd,95050
"231 E Santa Clara St,San Jose, CA 95113",Tea Village,San Jose,5/14/2018,Bubble Tea/Juice Bars & Smoothies,3/16/2020,4,82,CA,231 E Santa Clara St,95113
"3129 Meridian Ave,Ste 20,San Jose, CA 95124",Jasmine Kocha,San Jose,4/6/2019,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/31/2020,4,114,CA,3129 Meridian Ave,95124
"980 S Winchester Blvd,Ste 20,San Jose, CA 95128",TZONE Winchester,San Jose,3/19/2014,Juice Bars & Smoothies/Desserts/Coffee & Tea,10/11/2020,3,500,CA,980 S Winchester Blvd,95128
"10271 Torre Ave,Cupertino, CA 95014",Hanlin Tea Room - Cupertino,Cupertino,3/1/2020,Tea Rooms,10/15/2020,4,39,CA,10271 Torre Ave,95014
"1351 Jacklin Rd,Milpitas, CA 95035",White Rabbit,Milpitas,2/11/2020,Art Galleries/Bubble Tea/Coffee & Tea,10/20/2020,4,28,CA,1351 Jacklin Rd,95035
"969 Story Rd,Ste 6081,San Jose, CA 95122",T4 Story Road,San Jose,11/22/2016,Bubble Tea/Coffee & Tea/Taiwanese,10/15/2020,3,225,CA,969 Story Rd,95122
"San Jose, CA 95101",Boba Tteok,San Jose,6/13/2018,Bubble Tea/Desserts/Food Trucks,11/15/2018,4,12,CA,"San Jose, CA 95101",95101
"624 Tennant Station,Morgan Hill, CA 95037",TeaLite Drinks & Snow,Morgan Hill,1/14/2016,Ice Cream & Frozen Yogurt/Bubble Tea/Juice Bars & Smoothies,8/9/2020,4,191,CA,624 Tennant Station,95037
"225 Jackson St,San Jose, CA 95112",Aloha Fresh,San Jose,1/23/2019,Poke/Hawaiian/Bubble Tea,11/1/2020,4,217,CA,225 Jackson St,95112
"6180 Jarvis Ave,Ste W,Newark, CA 94560",Ding Tea,Newark,2/25/2020,Bubble Tea,10/24/2020,4,79,CA,6180 Jarvis Ave,94560
"2200 Eastridge Lp,Ste 2000,San Jose, CA 95122",Gong Cha,San Jose,4/22/2016,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/3/2020,4,238,CA,2200 Eastridge Lp,95122
"46461 Mission Blvd,Fremont, CA 94539",Factory Tea Bar,Fremont,9/28/2017,Bubble Tea/Coffee & Tea/Fast Food,10/29/2020,4,482,CA,46461 Mission Blvd,94539
"2569 S King Rd,C5,San Jose, CA 95122",Cafe & Tea Garden,San Jose,7/8/2019,Bubble Tea/Shaved Ice/Coffee & Tea,9/18/2020,4,35,CA,2569 S King Rd,95122
"279 W Calaveras Blvd,Milpitas, CA 95035",Happy Lemon,Milpitas,12/7/2017,Bubble Tea/Juice Bars & Smoothies,10/31/2020,4,261,CA,279 W Calaveras Blvd,95035
"3005 Silver Creek Rd,Ste 134,San Jose, CA 95121",Le Crème Cafe,San Jose,12/10/2017,Juice Bars & Smoothies/Donuts,10/31/2020,4,356,CA,3005 Silver Creek Rd,95121
"10445 S De Anza Blvd,Unit 103,Cupertino, CA 95014",Vampire Penguin - Cupertino,Cupertino,1/19/2020,Shaved Ice/Ice Cream & Frozen Yogurt/Bubble Tea,10/25/2020,4,40,CA,10445 S De Anza Blvd,95014
"677 Tasman Dr,Sunnyvale, CA 94089",Boba Drive,Sunnyvale,2/2/2019,Bubble Tea/Desserts/Cafes,10/25/2020,4,330,CA,677 Tasman Dr,94089
"979 Story Rd,Ste 7084,San Jose, CA 95122",Sweet Gelato Tea Lounge,San Jose,4/4/2015,Bubble Tea/Gelato/Coffee & Tea,11/1/2020,4,1248,CA,979 Story Rd,95122
"201 W Calaveras Blvd,Milpitas, CA 95035",Teaspoon,Milpitas,10/30/2015,Coffee & Tea/Desserts/Tea Rooms,10/26/2020,4,486,CA,201 W Calaveras Blvd,95035
"199 E Campbell Ave,Campbell, CA 95008",Breaktime Tea,Campbell,10/9/2019,Bubble Tea/Coffee & Tea/Desserts,10/6/2020,4,66,CA,199 E Campbell Ave,95008
"301 N Jackson Ave,San Jose, CA 95133",MILQ Tea Lounge,San Jose,4/9/2018,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,9/28/2020,3,458,CA,301 N Jackson Ave,95133
"403 N Capitol Ave,San Jose, CA 95133",The Tea Zone Lounge,San Jose,4/21/2017,Bubble Tea/Tea Rooms/Juice Bars & Smoothies,3/1/2020,3,138,CA,403 N Capitol Ave,95133
"1147 S De Anza Blvd,San Jose, CA 95129",Yi Fang Taiwan Fruit Tea,San Jose,7/15/2020,Bubble Tea/Juice Bars & Smoothies,10/24/2020,3,69,CA,1147 S De Anza Blvd,95129
"15700 Monterey Rd,Ste 100,Morgan Hill, CA 95037",EYEfiniTEA Optique & Lounge,Morgan Hill,10/21/2016,Eyewear & Opticians/Bubble Tea/Ice Cream & Frozen Yogurt,10/29/2020,4,188,CA,15700 Monterey Rd,95037
