address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"3211 Greenhouse Rd,Ste 115,Katy, TX 77449",Okie Dokie Teahouse,Katy,4/15/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,11/1/2020,4,52,TX,3211 Greenhouse Rd,77449
"23242 Fm 1314,Porter, TX 77365",Infuzion Bubble Tea Bar,Porter,8/17/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,8/17/2020,5,1,TX,23242 Fm 1314,77365
"3382 Highway 6,Sugar Land, TX 77478",Teapresso Bar,Sugar Land,4/6/2019,Coffee & Tea/Bubble Tea,10/30/2020,4,73,TX,3382 Highway 6,77478
"9328 Bellaire Blvd,Houston, TX 77036",Tasty Pot,Houston,1/23/2020,Taiwanese/Hot Pot/Bubble Tea,7/14/2020,5,45,TX,9328 Bellaire Blvd,77036
"6871 N Fry Rd,Ste 114,Katy, TX 77449",Puer Taiwan Tea & Coffee,Katy,6/26/2020,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/31/2020,4,28,TX,6871 N Fry Rd,77449
"5623 Garth Rd,Ste 170,Baytown, TX 77521",TopTea,Baytown,9/7/2018,Bubble Tea/Juice Bars & Smoothies/Vietnamese,10/5/2020,5,61,TX,5623 Garth Rd,77521
"19020 Gulf Fwy,Friendswood, TX 77546",Gong Cha,Friendswood,1/2/2020,Bubble Tea/Juice Bars & Smoothies,10/4/2020,4,23,TX,19020 Gulf Fwy,77546
"13531 Will Clayton Pkwy,Humble, TX 77346",Sweet Escape,Humble,6/30/2019,Bubble Tea/Donuts/Sandwiches,10/27/2020,4,32,TX,13531 Will Clayton Pkwy,77346
"99 Sunset Blvd,Houston, TX 77005",East-West Tea,Houston,1/11/2017,Bubble Tea,8/19/2019,4,8,TX,99 Sunset Blvd,77005
"1001 Fannin St,Ste M180,Houston, TX 77002",Baoz Dumpling,Houston,4/18/2008,Chinese/Bubble Tea/Vietnamese,12/19/2019,4,87,TX,1001 Fannin St,77002
"7014 Hwy 6 N,Houston, TX 77095",Fusion 36 Degree,Houston,4/24/2018,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,9/26/2020,5,22,TX,7014 Hwy 6 N,77095
"9354 Bellaire Blvd,Houston, TX 77036",Jing 5,Houston,7/31/2016,Chinese/Bubble Tea/Juice Bars & Smoothies,10/25/2020,4,21,TX,9354 Bellaire Blvd,77036
"7620 Katy Fwy,Ste 310,Houston, TX 77024",Class 502 Rolling Ice Cream,Houston,4/8/2017,Ice Cream & Frozen Yogurt/Bubble Tea/Juice Bars & Smoothies,9/28/2020,2,100,TX,7620 Katy Fwy,77024
"9188 Bellaire Blvd,Ste B,Houston, TX 77036",Bubble Egg,Houston,12/3/2017,Bubble Tea/Waffles/Ice Cream & Frozen Yogurt,,4,361,TX,9188 Bellaire Blvd,77036
"3427 Spencer Hwy,Pasadena, TX 77504",Sweet Lemon,Pasadena,9/29/2018,Bubble Tea/Juice Bars & Smoothies/Vietnamese,9/26/2020,4,102,TX,3427 Spencer Hwy,77504
"9889 Bellaire Blvd,Ste 109,Houston, TX 77036",Juice Box,Houston,5/31/2007,Taiwanese/Juice Bars & Smoothies/Shaved Snow,10/16/2020,4,530,TX,9889 Bellaire Blvd,77036
"3737 Hwy 6,Sugar Land, TX 77478",MTea & Coffee,Sugar Land,7/20/2018,Bubble Tea/Coffee & Tea,9/21/2020,4,132,TX,3737 Hwy 6,77478
"407 W Baker Rd,Ste E,Baytown, TX 77521",Tea City,Baytown,9/8/2017,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,8/15/2020,4,19,TX,407 W Baker Rd,77521
"1540 S Mason Rd,Katy, TX 77450",Tapioca Xpress,Katy,1/24/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/10/2020,4,66,TX,1540 S Mason Rd,77450
"1005 Blalock Rd,Unit G,Houston, TX 77055",Kung Fu Tea,Houston,11/4/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/7/2020,3,20,TX,1005 Blalock Rd,77055
"126 Vintage Park Blvd,Ste F,Houston, TX 77070",Pandan Leaf,Houston,4/20/2013,Vietnamese/Desserts/Juice Bars & Smoothies,9/12/2020,4,102,TX,126 Vintage Park Blvd,77070
"9405 S Texas 6,Houston, TX 77083",On Da House,Houston,2/25/2020,Juice Bars & Smoothies/Bubble Tea,8/23/2020,4,18,TX,9405 S Texas 6,77083
"16535 Southwest Fwy,Sugar Land, TX 77479",Bubble Waffle and Tea,Sugar Land,7/15/2018,Bubble Tea/Ice Cream & Frozen Yogurt/Waffles,8/5/2020,4,22,TX,16535 Southwest Fwy,77479
"1523 S Mason Rd,Katy, TX 77450",Kim's Tea House,Katy,2/19/2013,Bubble Tea/Juice Bars & Smoothies/Fast Food,10/18/2020,4,190,TX,1523 S Mason Rd,77450
"4701 Calhoun Rd,Houston, TX 77004",Azza Cafe,Houston,9/24/2013,Bubble Tea/Asian Fusion/Seafood,10/22/2020,3,158,TX,4701 Calhoun Rd,77004
"7630 Fry Rd,Ste 400,Cypress, TX 77433",LAtea,Cypress,9/21/2018,Bubble Tea/Coffee & Tea,6/9/2020,4,51,TX,7630 Fry Rd,77433
"1113 Holman St,Houston, TX 77004",Boba Cafe,Houston,11/25/2008,Bubble Tea/Burgers/Cheesesteaks,10/22/2020,3,39,TX,1113 Holman St,77004
"12148 Bellaire Blvd,Ste 124,Houston, TX 77072",Bun Bo Hue Duc Chuong Midnite,Houston,6/14/2012,Vietnamese,9/21/2020,4,321,TX,12148 Bellaire Blvd,77072
"11200 Broadway St,Ste 1370,Pearland, TX 77584",Kung Fu Tea,Pearland,3/10/2016,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,8/26/2020,3,118,TX,11200 Broadway St,77584
"3729 E League City Pkwy,League City, TX 77573",The Drink station,League City,5/5/2020,Juice Bars & Smoothies/Bubble Tea/Desserts,10/25/2020,2,6,TX,3729 E League City Pkwy,77573
"16733 W Airport Blvd,Ste 220,Richmond, TX 77407",Mylk Box,Richmond,12/7/2019,Coffee & Tea/Bubble Tea/Sandwiches,9/14/2020,4,45,TX,16733 W Airport Blvd,77407
"15951 Fm 529 Rd,Houston, TX 77095",I Heart Boba FM 529,Houston,5/25/2017,Coffee & Tea/Bubble Tea/Sandwiches,6/29/2020,4,55,TX,15951 Fm 529 Rd,77095
"4440 N Fwy,Houston, TX 77022",Zero Degrees,Houston,2/21/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/9/2020,2,49,TX,4440 N Fwy,77022
"2611 San Jacinto St,Houston, TX 77004",Thien An Sandwiches,Houston,3/30/2014,Vietnamese,10/29/2020,4,332,TX,2611 San Jacinto St,77004
"840 Gulfgate Center Mall,Houston, TX 77087",The Teahouse Tapioca & Tea,Houston,9/26/2017,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,6/23/2020,3,50,TX,840 Gulfgate Center Mall,77087
"1027 Blalock Rd,Houston, TX 77055",85°C Bakery Cafe,Houston,8/21/2017,Bakeries/Coffee & Tea/Patisserie/Cake Shop,9/29/2020,3,181,TX,1027 Blalock Rd,77055
"1914 Wescott Ave,Ste 120,Sugar Land, TX 77479",Teapioca Lounge,Sugar Land,12/17/2018,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,10/19/2020,4,96,TX,1914 Wescott Ave,77479
"5730 New Territory Blvd,Sugar Land, TX 77479",OG Tea,Sugar Land,7/8/2015,Bubble Tea/Juice Bars & Smoothies/Sandwiches,7/27/2020,4,153,TX,5730 New Territory Blvd,77479
"16341 Mueschke Rd,Ste 290,Cypress, TX 77433",Tea Bear Teahouse,Cypress,3/30/2019,Bubble Tea/Tea Rooms,7/11/2020,4,38,TX,16341 Mueschke Rd,77433
"5834 Louetta Rd,Ste A,Spring, TX 77379",I Heart Boba,Spring,12/2/2012,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/23/2020,4,336,TX,5834 Louetta Rd,77379
