address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"726 Clark St,Evanston, IL 60201",Kung Fu Tea,Evanston,9/6/2014,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/13/2020,3,157,IL,726 Clark St,60201
"1010 W Argyle St,Chicago, IL 60640",Uptown Pho,Chicago,7/18/2014,Vietnamese/Vegetarian/Desserts,8/20/2020,4,322,IL,1010 W Argyle St,60640
"12 S NW Hwy,Park Ridge, IL 60068",Poke Burrito - Park Ridge,Park Ridge,8/21/2020,Poke/Ramen/Hawaiian,10/29/2020,4,13,IL,12 S NW Hwy,60068
"3900 N Lincoln Ave,Chicago, IL 60613",C'est Bien Thai,Chicago,10/20/2016,Thai,9/20/2020,4,136,IL,3900 N Lincoln Ave,60613
"100 East Algonquin Rd,Arlington Heights, IL 60005",B-Bee Crepe & Boba,Arlington Heights,5/28/2016,Bubble Tea/Creperies,10/5/2020,3,56,IL,100 East Algonquin Rd,60005
"2161 S China Pl,Fl 2,Chicago, IL 60616",Mango Mango Dessert,Chicago,8/17/2019,Desserts,10/18/2020,4,89,IL,2161 S China Pl,60616
"3946 N Central Ave,Chicago, IL 60634",Ninja Sushi & Thai Restaurant,Chicago,12/16/2016,Asian Fusion/Sushi Bars/Thai,10/25/2020,4,132,IL,3946 N Central Ave,60634
"100 E Algonquin Rd,Mitsuwa Marketplace,Arlington Heights, IL 60005",releaf,Arlington Heights,7/23/2007,Ice Cream & Frozen Yogurt/Coffee & Tea/Bubble Tea,8/15/2020,4,155,IL,100 E Algonquin Rd,60005
"2229 S Wentworth Ave,Chicago, IL 60616",Wentworth Seafood House,Chicago,2/5/2018,Bubble Tea/Seafood/Cantonese,9/2/2020,4,108,IL,2229 S Wentworth Ave,60616
"275 Parkway Dr,Ste 315,Lincolnshire, IL 60069",Liquid Fusion,Lincolnshire,10/2/2012,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/20/2020,4,138,IL,275 Parkway Dr,60069
