address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"204 Baltimore Pike,Springfield, PA 19064",Pho Street,Springfield,10/22/2013,Vietnamese,10/15/2020,4,249,PA,204 Baltimore Pike,19064
"1110 Washington Ave,Ste 2A,Philadelphia, PA 19147",Pho & Cafe Viet Huong,Philadelphia,1/10/2007,Vietnamese,9/15/2020,3,242,PA,1110 Washington Ave,19147
"2104 Market St,Philadelphia, PA 19103",Pho Street,Philadelphia,12/13/2017,Vietnamese,10/12/2020,4,132,PA,2104 Market St,19103
"1500 S Broad St,Philadelphia, PA 19146",La Cocina del Cafe,Philadelphia,10/18/2019,Mexican/Latin American/Breakfast & Brunch,8/20/2020,5,23,PA,1500 S Broad St,19146
"111 W 10th St,Wilmington, DE 19801",phubs,Wilmington,,Vietnamese/Bubble Tea,,,,DE,111 W 10th St,19801
"3175 John F. Kennedy Boulevard,Philadelphia, PA 19104",Kung Fu Tea,Philadelphia,,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,,,,PA,3175 John F. Kennedy Boulevard,19104
"339 E Lancaster Ave,Wynnewood, PA 19096",Sang Kee Asian Bistro,Wynnewood,6/15/2006,Asian Fusion/Chinese,11/1/2020,4,445,PA,339 E Lancaster Ave,19096
"1020 Race St,Philadelphia, PA 19107",Dim Sum Garden,Philadelphia,9/29/2013,Dim Sum/Asian Fusion/Shanghainese,11/1/2020,4,2479,PA,1020 Race St,19107
"1222 Welsh Rd,North Wales, PA 19454",Kung Fu Tea - North Wales,North Wales,9/4/2020,Bubble Tea,10/5/2020,4,6,PA,1222 Welsh Rd,19454
"1028 Arch St,Philadelphia, PA 19107",Yamitsuki Ramen,Philadelphia,4/28/2016,Ramen/Sushi Bars/Cocktail Bars,10/28/2020,3,448,PA,1028 Arch St,19107
"144 W Germantown Pike,East Norriton, PA 19401",Pho Thai Nam Restaurant,East Norriton,2/1/2008,Thai/Vietnamese,10/24/2020,4,452,PA,144 W Germantown Pike,19401
"1222 Welsh Rd,North Wales, PA 19454",Assi Plaza,North Wales,5/31/2008,Korean/Grocery,7/30/2020,4,161,PA,1222 Welsh Rd,19454
"7630 Germantown Ave,Philadelphia, PA 19118",Yu Hsiang Garden,Philadelphia,12/7/2008,Chinese,10/30/2020,4,58,PA,7630 Germantown Ave,19118
"2101 Pennsylvania Ave,Whole Foods Market,Philadelphia, PA 19130",Genji Sushi Bar & Izakaya,Philadelphia,11/18/2017,Sushi Bars/Ramen,1/7/2020,3,23,PA,2101 Pennsylvania Ave,19130
"202 East Lancaster Ave,Ardmore, PA 19003",Sake Mian,Ardmore,5/9/2020,Japanese,10/31/2020,4,13,PA,202 East Lancaster Ave,19003
"230 Montgomery Mall,North Wales, PA 19454",Pholicious,North Wales,6/11/2014,Bubble Tea/Fast Food/Vietnamese,8/2/2020,4,27,PA,230 Montgomery Mall,19454
"327 N Black Horse Pike,Runnemede, NJ 08078",Ginza Japanese & Asian Restaurant,Runnemede,12/2/2013,Japanese/Chinese/Sushi Bars,5/13/2020,3,60,NJ,327 N Black Horse Pike,08078
"3549 Chestnut St,Philadelphia, PA 19104",Sang Kee Noodle House,Philadelphia,12/1/2009,Dim Sum/Noodles,9/29/2020,3,400,PA,3549 Chestnut St,19104
"600 Washington Ave,Unit 16,Philadelphia, PA 19147",Kung Fu Tea,Philadelphia,12/26/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,2/3/2020,3,3,PA,600 Washington Ave,19147
"1244 Snyder Ave,Philadelphia, PA 19148",AmeriThai,Philadelphia,7/8/2014,Thai,10/5/2020,4,118,PA,1244 Snyder Ave,19148
"13 E State St,Media, PA 19063",Tom's Dim Sum,Media,7/27/2016,Dim Sum/Shanghainese,10/25/2020,4,269,PA,13 E State St,19063
"1025 Arch St,Philadelphia, PA 19107",Möge Tee - Philadelphia,Philadelphia,8/2/2019,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,3/26/2020,4,52,PA,1025 Arch St,19107
"4520 Baltimore Ave,Philadelphia, PA 19143",Ice Cave,Philadelphia,8/27/2016,Desserts/Shaved Ice/Bubble Tea,9/8/2020,5,127,PA,4520 Baltimore Ave,19143
"115 N 9th St,Philadelphia, PA 19107",A Cup Of Tea,Philadelphia,5/13/2017,Bubble Tea,10/25/2020,4,87,PA,115 N 9th St,19107
"4229 Main St,Philadelphia, PA 19127",Mi 'N Tea,Philadelphia,4/20/2020,Vietnamese/Bubble Tea/Sandwiches,10/27/2020,5,61,PA,4229 Main St,19127
"1715 Chestnut St,Philadelphia, PA 19103",Tsaocaa,Philadelphia,4/18/2019,Bubble Tea/Juice Bars & Smoothies,10/3/2020,4,16,PA,1715 Chestnut St,19103
"1023 Cherry St,Philadelphia, PA 19107",Mr deer the camp,Philadelphia,6/9/2019,Bubble Tea,10/8/2020,4,69,PA,1023 Cherry St,19107
"7320 Old York Rd,Elkins Park, PA 19027",Tsaocaa,Elkins Park,8/23/2020,Bubble Tea,10/22/2020,4,5,PA,7320 Old York Rd,19027
"216 N 10th St,Philadelphia, PA 19107",Mr Wish,Philadelphia,8/26/2015,Bubble Tea/Juice Bars & Smoothies,10/26/2020,4,249,PA,216 N 10th St,19107
"132 N 10th St,Philadelphia, PA 19107",Tea Do,Philadelphia,7/21/2012,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/31/2020,4,804,PA,132 N 10th St,19107
"1100 S Christopher Columbus Blvd,Unit 22,Philadelphia, PA 19147",Pho Saigon,Philadelphia,11/12/2009,Vietnamese,9/10/2020,4,403,PA,1100 S Christopher Columbus Blvd,19147
"402 W Swedesford Rd,Berwyn, PA 19312",Lotus Inn,Berwyn,4/24/2008,Chinese/Japanese,10/23/2020,3,81,PA,402 W Swedesford Rd,19312
"2100 Fairmount Ave,Philadelphia, PA 19130",OCF Coffee House,Philadelphia,1/6/2013,Coffee & Tea/Bagels,10/25/2020,4,377,PA,2100 Fairmount Ave,19130
"1635 Haines Rd,Levittown, PA 19055",Bravo Pho,Levittown,7/7/2018,Vietnamese,10/15/2020,4,95,PA,1635 Haines Rd,19055
